ID,Type,SubType,GeometryType,StartX_mm,StartY_mm,EndX_mm,EndY_mm,Length_mm,Width_mm,Thickness_mm,Height_mm,Level,DimensionText,LengthVerified,Confidence
"b192b6ef-2d33-44e2-b751-e8ec9a33e4dc","door","swing-door","line","4349.55","5372.97","4605.41","5372.97","255.86","","","","Level 1","","NO","0.85"
"ffb8e270-4d70-4d4e-98a0-a0511483acbd","door","sliding-door","line","5820.72","3837.84","5820.72","4605.41","767.57","","","","Level 1","","NO","0.90"
"7bb4b9a1-5163-4361-a5fe-ecbd6f81590c","door","sliding-door","line","3940.18","3837.84","3940.18","4349.55","511.71","","","","Level 1","","NO","0.90"
"08891128-3043-49fd-aa4d-b15ad205d251","door","swing-door","line","2737.66","1535.14","2737.66","1663.06","127.93","","","","Level 1","","NO","0.80"
"9f0d4e7b-3e9d-461d-8c98-26ca80824fdf","window","standard-window","line","1790.99","1407.21","2430.63","1407.21","639.64","","","","Level 1","640x770","YES","0.90"
"21c5eabd-200d-4c30-a22d-db02058cdad5","window","standard-window","line","3070.27","1407.21","3581.98","1407.21","511.71","","","","Level 1","640x770","NO","0.90"
"32022f34-c5c6-45ff-a3e2-dcdef644bc83","window","standard-window","line","5372.97","1407.21","5884.69","1407.21","511.71","","","","Level 1","405x370","NO","0.90"
"2bd53799-e1e3-444e-b123-345290cb28fb","window","standard-window","line","7163.97","1407.21","8954.96","1407.21","1790.99","","","","Level 1","1255x960","NO","0.90"
"d24164ee-da52-4db2-8e9f-a9949f449551","window","standard-window","line","9824.87","1918.92","9824.87","2686.49","767.57","","","","Level 1","800x1160","YES","0.90"
"cc5d1278-8a0d-4567-9367-72c35772ae6b","window","standard-window","line","9824.87","4093.70","9824.87","5372.97","1279.28","","","","Level 1","","NO","0.90"
"033186e9-04a7-472d-afb7-67834fd20cf5","window","standard-window","line","6780.18","6396.40","8827.03","6396.40","2046.85","","","","Level 1","3510x2230","NO","0.90"
"4ea83613-d53d-4a1e-9b6c-1b037a385ad4","window","standard-window","line","1535.14","3837.84","1535.14","4605.41","767.57","","","","Level 1","1255x960","NO","0.90"
"e6a8c48c-ca07-406b-a1b7-b506f861703e","window","standard-window","line","1535.14","2814.42","1535.14","3454.06","639.64","","","","Level 1","640x770","YES","0.90"
"5b1627c9-a831-4cdc-84ad-0bb4ab5497cc","window","standard-window","line","1535.14","1535.14","1535.14","1663.06","127.93","","","","Level 1","640x770","NO","0.80"
"72df1bb1-e248-45ff-a4a0-544579c5c12e","wall","interior-wall","line","1535.14","1816.58","2737.66","1816.58","1202.52","","6.00","","Level 1","910","NO","0.95"
"f175acf2-f4d7-4d7b-8ad0-2b2a1ef41a5c","wall","interior-wall","line","1535.14","4861.26","3940.18","4861.26","2405.05","","6.00","","Level 1","13,24m","NO","0.95"
"d8e6749d-deb7-42ed-81d5-e172c3b52aa9","room","living-room","polygon","5820.72","3172.61","9824.87","3172.61","","","","","Level 1","33.95m","NO","0.90"
